,Date,Defect ID,Defect Qty,Downtime min,Vendor,Sub Category,Category,Material Type,Plant,Defect,Defect Type
0,2014-12-01,247,0,0,Y-zoom,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
1,2014-11-19,247,0,0,Dingquokix,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
2,2014-11-18,247,0,0,Scotcan,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
3,2014-11-17,247,0,0,Zoodrill,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
4,2014-11-17,247,0,0,Zoodrill,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
5,2014-11-16,247,0,0,Fax-ex,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
6,2014-11-16,247,0,0,Anzammedia,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
7,2014-11-16,247,0,0,Flexplex,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
8,2014-11-12,247,0,0,Viacane,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
9,2014-11-11,247,0,0,Canphase,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
10,2014-11-10,247,0,0,Flexplex,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
11,2014-11-10,247,0,0,Flexplex,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
12,2014-11-10,247,0,0,Plusity,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
13,2014-11-01,247,0,0,bamity,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
14,2014-10-27,247,0,0,Villacom,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
15,2014-10-26,247,0,0,Howtaxon,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
16,2014-10-25,247,0,0,Zoomhex,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
17,2014-10-25,247,0,0,Fax-ex,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
18,2014-10-25,247,0,0,Villacom,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
19,2014-10-25,247,0,0,Villacom,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
20,2014-10-21,247,0,0,Ronvivalam,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
21,2014-10-15,247,0,0,Fax-ex,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
22,2014-10-14,247,0,0,Zoomhex,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
23,2014-10-14,247,0,0,Ittam,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
24,2014-10-14,247,0,0,Ittam,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
25,2014-10-14,247,0,0,Fax-ex,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
26,2014-10-14,247,0,0,Villacom,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
27,2014-10-14,247,0,0,Villacom,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
28,2014-10-14,247,0,0,Zoodrill,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
29,2014-10-14,247,0,0,Fax-ex,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
30,2014-10-14,247,0,0,Dingquokix,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
31,2014-10-14,247,0,0,zoofan,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
32,2014-10-14,247,0,0,zoofan,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
