AIRLINE,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,SCHEDULED_TIME,ELAPSED_TIME,DELAY_LEVEL
AS,ANC,SEA,2015-01-01 00:05:00,23:54:00,-11.0,04:30:00,04:08:00,-22.0,205.0,194.0,0
AA,LAX,PBI,2015-01-01 00:10:00,00:02:00,-8.0,07:50:00,07:41:00,-9.0,280.0,279.0,0
US,SFO,CLT,2015-01-01 00:20:00,00:18:00,-2.0,08:06:00,08:11:00,5.0,286.0,293.0,0
AA,LAX,MIA,2015-01-01 00:20:00,00:15:00,-5.0,08:05:00,07:56:00,-9.0,285.0,281.0,0
AS,SEA,ANC,2015-01-01 00:25:00,00:24:00,-1.0,03:20:00,02:59:00,-21.0,235.0,215.0,0
DL,SFO,MSP,2015-01-01 00:25:00,00:20:00,-5.0,06:02:00,06:10:00,8.0,217.0,230.0,0
NK,LAS,MSP,2015-01-01 00:25:00,00:19:00,-6.0,05:26:00,05:09:00,-17.0,181.0,170.0,0
US,LAX,CLT,2015-01-01 00:30:00,00:44:00,14.0,08:03:00,07:53:00,-10.0,273.0,249.0,1
AA,SFO,DFW,2015-01-01 00:30:00,00:19:00,-11.0,05:45:00,05:32:00,-13.0,195.0,193.0,0
DL,LAS,ATL,2015-01-01 00:30:00,00:33:00,3.0,07:11:00,06:56:00,-15.0,221.0,203.0,0
DL,DEN,ATL,2015-01-01 00:30:00,00:24:00,-6.0,05:23:00,04:53:00,-30.0,173.0,149.0,0
AA,LAS,MIA,2015-01-01 00:35:00,00:27:00,-8.0,08:03:00,07:53:00,-10.0,268.0,266.0,0
DL,LAX,MSP,2015-01-01 00:35:00,00:35:00,0.0,06:09:00,06:05:00,-4.0,214.0,210.0,0
DL,SLC,ATL,2015-01-01 00:40:00,00:34:00,-6.0,06:15:00,05:53:00,-22.0,215.0,199.0,0
DL,SEA,MSP,2015-01-01 00:40:00,00:39:00,-1.0,05:49:00,05:57:00,8.0,189.0,198.0,0
AS,ANC,SEA,2015-01-01 00:45:00,00:41:00,-4.0,05:09:00,04:55:00,-14.0,204.0,194.0,0
DL,ANC,SEA,2015-01-01 00:45:00,00:31:00,-14.0,05:15:00,04:51:00,-24.0,210.0,200.0,0
UA,SFO,IAH,2015-01-01 00:48:00,00:42:00,-6.0,06:26:00,06:19:00,-7.0,218.0,217.0,0
AS,ANC,PDX,2015-01-01 00:50:00,00:46:00,-4.0,05:25:00,05:07:00,-18.0,215.0,201.0,0
DL,PDX,MSP,2015-01-01 00:50:00,00:45:00,-5.0,06:03:00,05:51:00,-12.0,193.0,186.0,0
NK,LAS,MCI,2015-01-01 00:55:00,01:20:00,25.0,05:37:00,05:43:00,6.0,162.0,143.0,1
AA,SEA,MIA,2015-01-01 01:00:00,00:52:00,-8.0,09:38:00,09:39:00,1.0,338.0,347.0,0
NK,LAS,DFW,2015-01-01 01:03:00,01:02:00,-1.0,05:30:00,05:29:00,-1.0,147.0,147.0,0
AA,LAX,MIA,2015-01-01 01:05:00,01:03:00,-2.0,08:51:00,08:39:00,-12.0,286.0,276.0,0
DL,LAS,MSP,2015-01-01 01:05:00,01:02:00,-3.0,06:08:00,05:45:00,-23.0,183.0,163.0,0
UA,LAX,IAH,2015-01-01 01:15:00,01:12:00,-3.0,06:18:00,06:07:00,-11.0,183.0,175.0,0
AS,FAI,SEA,2015-01-01 01:15:00,01:07:00,-8.0,05:48:00,05:45:00,-3.0,213.0,218.0,0
NK,MSP,FLL,2015-01-01 01:15:00,01:27:00,12.0,05:42:00,06:07:00,25.0,207.0,220.0,1
US,LAS,CLT,2015-01-01 01:20:00,01:10:00,-10.0,08:25:00,07:54:00,-31.0,245.0,224.0,0
AA,DEN,MIA,2015-01-01 01:20:00,01:41:00,21.0,07:07:00,07:09:00,2.0,227.0,208.0,1
NK,PHX,ORD,2015-01-01 01:25:00,02:37:00,72.0,05:49:00,06:32:00,43.0,204.0,175.0,2
AA,PHX,MIA,2015-01-01 01:27:00,01:16:00,-11.0,07:26:00,07:10:00,-16.0,239.0,234.0,0
DL,SLC,ATL,2015-01-01 01:40:00,01:34:00,-6.0,07:15:00,07:25:00,10.0,215.0,231.0,0
NK,LAS,IAH,2015-01-01 01:44:00,01:40:00,-4.0,06:34:00,06:30:00,-4.0,170.0,170.0,0
HA,LAS,HNL,2015-01-01 01:45:00,01:45:00,0.0,05:55:00,06:10:00,15.0,370.0,385.0,0
US,ANC,PHX,2015-01-01 01:52:00,01:43:00,-9.0,09:15:00,09:05:00,-10.0,323.0,322.0,0
UA,SJU,EWR,2015-01-01 01:54:00,01:57:00,3.0,05:09:00,04:58:00,-11.0,255.0,241.0,0
AS,ANC,SEA,2015-01-01 01:55:00,01:40:00,-15.0,06:33:00,05:58:00,-35.0,218.0,198.0,0
B6,SJU,JFK,2015-01-01 01:55:00,01:53:00,-2.0,04:50:00,05:01:00,11.0,235.0,248.0,0
NK,PBG,FLL,2015-01-01 01:55:00,01:39:00,-16.0,05:23:00,04:50:00,-33.0,208.0,191.0,0
NK,PHX,DFW,2015-01-01 01:59:00,01:58:00,-1.0,05:02:00,05:03:00,1.0,123.0,125.0,0
AS,ANC,PDX,2015-01-01 02:00:00,01:50:00,-10.0,06:30:00,06:19:00,-11.0,210.0,209.0,0
NK,IAG,FLL,2015-01-01 02:00:00,01:55:00,-5.0,05:04:00,04:53:00,-11.0,184.0,178.0,0
B6,SJU,EWR,2015-01-01 02:06:00,01:52:00,-14.0,05:12:00,05:16:00,4.0,246.0,264.0,0
US,PHX,CLT,2015-01-01 02:20:00,02:09:00,-11.0,08:04:00,07:28:00,-36.0,224.0,199.0,0
AS,ANC,SEA,2015-01-01 02:20:00,02:09:00,-11.0,06:40:00,06:28:00,-12.0,200.0,199.0,0
B6,PSE,MCO,2015-01-01 02:55:00,02:48:00,-7.0,05:00:00,04:51:00,-9.0,185.0,183.0,0
UA,BQN,EWR,2015-01-01 02:59:00,02:58:00,-1.0,05:59:00,06:05:00,6.0,240.0,247.0,0
B6,BQN,MCO,2015-01-01 03:07:00,03:04:00,-3.0,05:00:00,05:20:00,20.0,173.0,196.0,0
B6,SJU,BOS,2015-01-01 03:30:00,03:16:00,-14.0,06:35:00,06:19:00,-16.0,245.0,243.0,0
B6,SJU,MCO,2015-01-01 04:00:00,05:35:00,95.0,06:05:00,07:30:00,85.0,185.0,175.0,2
B6,BQN,MCO,2015-01-01 04:19:00,04:23:00,4.0,06:13:00,06:06:00,-7.0,174.0,163.0,0
B6,PSE,MCO,2015-01-01 04:24:00,04:13:00,-11.0,06:30:00,06:29:00,-1.0,186.0,196.0,0
B6,SJU,BDL,2015-01-01 04:38:00,05:50:00,72.0,07:39:00,09:08:00,89.0,241.0,258.0,2
US,ORD,PHX,2015-01-01 05:00:00,04:59:00,-1.0,07:48:00,07:51:00,3.0,228.0,232.0,0
AS,GEG,SEA,2015-01-01 05:00:00,04:56:00,-4.0,06:10:00,06:10:00,0.0,70.0,74.0,0
HA,HNL,ITO,2015-01-01 05:00:00,04:52:00,-8.0,05:49:00,05:43:00,-6.0,49.0,51.0,0
OO,ONT,SFO,2015-01-01 05:00:00,05:13:00,13.0,06:29:00,06:38:00,9.0,89.0,85.0,1
HA,HNL,KOA,2015-01-01 05:02:00,05:01:00,-1.0,05:44:00,05:49:00,5.0,42.0,48.0,0
AS,ANC,SEA,2015-01-01 05:05:00,04:57:00,-8.0,09:30:00,09:16:00,-14.0,205.0,199.0,0
HA,HNL,OGG,2015-01-01 05:05:00,04:54:00,-11.0,05:41:00,05:30:00,-11.0,36.0,36.0,0
UA,ORD,IAH,2015-01-01 05:10:00,05:14:00,4.0,08:05:00,08:16:00,11.0,175.0,182.0,0
AA,MCO,MIA,2015-01-01 05:10:00,05:07:00,-3.0,06:13:00,06:02:00,-11.0,63.0,55.0,0
NK,BOS,MYR,2015-01-01 05:10:00,05:06:00,-4.0,07:30:00,07:20:00,-10.0,140.0,134.0,0
OO,HIB,MSP,2015-01-01 05:10:00,05:00:00,-10.0,06:18:00,06:18:00,0.0,68.0,78.0,0
OO,ABR,MSP,2015-01-01 05:10:00,05:08:00,-2.0,06:19:00,06:15:00,-4.0,69.0,67.0,0
US,SEA,PHX,2015-01-01 05:15:00,05:10:00,-5.0,09:00:00,08:58:00,-2.0,165.0,168.0,0
AA,DFW,MIA,2015-01-01 05:15:00,07:03:00,108.0,08:56:00,10:38:00,102.0,161.0,155.0,2
AA,BOS,MIA,2015-01-01 05:15:00,05:10:00,-5.0,08:43:00,08:45:00,2.0,208.0,215.0,0
EV,MKE,IAH,2015-01-01 05:15:00,05:17:00,2.0,08:13:00,08:26:00,13.0,178.0,189.0,0
US,PDX,PHX,2015-01-01 05:20:00,06:20:00,60.0,08:50:00,09:50:00,60.0,150.0,150.0,2
AA,IAH,MIA,2015-01-01 05:20:00,06:18:00,58.0,08:41:00,09:35:00,54.0,141.0,137.0,2
DL,BNA,DTW,2015-01-01 05:20:00,05:11:00,-9.0,08:03:00,07:57:00,-6.0,103.0,106.0,0
EV,BRO,IAH,2015-01-01 05:20:00,05:17:00,-3.0,06:34:00,06:29:00,-5.0,74.0,72.0,0
EV,VPS,ATL,2015-01-01 05:20:00,05:14:00,-6.0,07:26:00,07:11:00,-15.0,66.0,57.0,0
OO,BOI,SFO,2015-01-01 05:20:00,05:25:00,5.0,06:12:00,06:15:00,3.0,112.0,110.0,0
OO,BJI,MSP,2015-01-01 05:20:00,05:17:00,-3.0,06:20:00,06:29:00,9.0,60.0,72.0,0
HA,HNL,LIH,2015-01-01 05:23:00,05:13:00,-10.0,06:00:00,05:48:00,-12.0,37.0,35.0,0
EV,BNA,ATL,2015-01-01 05:25:00,05:25:00,0.0,07:30:00,07:35:00,5.0,65.0,70.0,0
UA,PHL,IAH,2015-01-01 05:30:00,05:32:00,2.0,08:20:00,08:26:00,6.0,230.0,234.0,0
UA,PDX,DEN,2015-01-01 05:30:00,05:34:00,4.0,08:52:00,08:56:00,4.0,142.0,142.0,0
UA,SEA,DEN,2015-01-01 05:30:00,05:29:00,-1.0,09:07:00,09:06:00,-1.0,157.0,157.0,0
AA,DEN,DFW,2015-01-01 05:30:00,06:23:00,53.0,08:35:00,09:41:00,66.0,125.0,138.0,2
EV,SBN,ORD,2015-01-01 05:30:00,05:27:00,-3.0,05:25:00,05:11:00,-14.0,55.0,44.0,0
F9,PHL,MCO,2015-01-01 05:30:00,05:26:00,-4.0,08:10:00,07:52:00,-18.0,160.0,146.0,0
NK,ORD,FLL,2015-01-01 05:30:00,05:26:00,-4.0,09:38:00,09:13:00,-25.0,188.0,167.0,0
OO,EUG,DEN,2015-01-01 05:30:00,05:26:00,-4.0,09:13:00,09:26:00,13.0,163.0,180.0,0
UA,SFO,DEN,2015-01-01 05:31:00,05:50:00,19.0,08:57:00,09:23:00,26.0,146.0,153.0,1
UA,ORD,DEN,2015-01-01 05:33:00,05:40:00,7.0,07:20:00,07:23:00,3.0,167.0,163.0,1
UA,IAD,IAH,2015-01-01 05:35:00,05:41:00,6.0,08:02:00,08:16:00,14.0,207.0,215.0,1
B6,BUF,JFK,2015-01-01 05:35:00,05:30:00,-5.0,07:03:00,06:48:00,-15.0,88.0,78.0,0
B6,PWM,JFK,2015-01-01 05:35:00,05:28:00,-7.0,07:00:00,06:35:00,-25.0,85.0,67.0,0
B6,JFK,SJU,2015-01-01 05:35:00,06:18:00,43.0,10:20:00,10:39:00,19.0,225.0,201.0,1
EV,CRP,IAH,2015-01-01 05:35:00,05:23:00,-12.0,06:36:00,06:15:00,-21.0,61.0,52.0,0
EV,PIA,DTW,2015-01-01 05:35:00,05:30:00,-5.0,08:03:00,07:45:00,-18.0,88.0,75.0,0
EV,ORD,DTW,2015-01-01 05:35:00,05:50:00,15.0,08:00:00,07:57:00,-3.0,85.0,67.0,1
OO,FAT,LAX,2015-01-01 05:35:00,05:30:00,-5.0,06:50:00,06:50:00,0.0,75.0,80.0,0
UA,SMF,DEN,2015-01-01 05:38:00,06:34:00,56.0,09:00:00,10:18:00,78.0,142.0,164.0,2
OO,AUS,LAX,2015-01-01 05:38:00,05:35:00,-3.0,07:10:00,06:54:00,-16.0,212.0,199.0,0
B6,BOS,BWI,2015-01-01 05:40:00,05:36:00,-4.0,07:21:00,07:00:00,-21.0,101.0,84.0,0
B6,ORD,BOS,2015-01-01 05:40:00,05:29:00,-11.0,08:56:00,08:23:00,-33.0,136.0,114.0,0
DL,PHX,DTW,2015-01-01 05:40:00,08:08:00,148.0,11:23:00,13:31:00,128.0,223.0,203.0,2
DL,MCI,ATL,2015-01-01 05:40:00,05:46:00,6.0,08:42:00,08:27:00,-15.0,122.0,101.0,1
DL,BOS,DTW,2015-01-01 05:40:00,05:37:00,-3.0,08:03:00,07:42:00,-21.0,143.0,125.0,0
EV,ATL,IAD,2015-01-01 05:40:00,05:56:00,16.0,07:25:00,07:39:00,14.0,105.0,103.0,1
EV,JAX,EWR,2015-01-01 05:40:00,05:31:00,-9.0,07:57:00,07:43:00,-14.0,137.0,132.0,0
OO,MFR,DEN,2015-01-01 05:40:00,05:38:00,-2.0,09:21:00,09:46:00,25.0,161.0,188.0,0
OO,SLC,IAH,2015-01-01 05:40:00,05:37:00,-3.0,09:53:00,09:37:00,-16.0,193.0,180.0,0
OO,IDA,DEN,2015-01-01 05:41:00,05:39:00,-2.0,07:25:00,07:32:00,7.0,104.0,113.0,0
F9,MSN,DEN,2015-01-01 05:44:00,05:34:00,-10.0,07:09:00,06:58:00,-11.0,145.0,144.0,0
OO,MKE,DTW,2015-01-01 05:45:00,05:43:00,-2.0,07:59:00,07:38:00,-21.0,74.0,55.0,0
UA,GEG,DEN,2015-01-01 05:45:00,05:42:00,-3.0,09:04:00,08:58:00,-6.0,139.0,136.0,0
UA,SEA,IAH,2015-01-01 05:45:00,05:41:00,-4.0,11:56:00,12:07:00,11.0,251.0,266.0,0
UA,DCA,IAH,2015-01-01 05:45:00,05:50:00,5.0,08:14:00,08:07:00,-7.0,209.0,197.0,0
AA,SAT,DFW,2015-01-01 05:45:00,05:39:00,-6.0,06:50:00,06:38:00,-12.0,65.0,59.0,0
AA,JFK,MIA,2015-01-01 05:45:00,06:40:00,55.0,08:50:00,09:59:00,69.0,185.0,199.0,2
B6,BOS,PBI,2015-01-01 05:45:00,05:51:00,6.0,09:10:00,09:01:00,-9.0,205.0,190.0,1
B6,BOS,JFK,2015-01-01 05:45:00,05:43:00,-2.0,07:02:00,06:49:00,-13.0,77.0,66.0,0
B6,JFK,BQN,2015-01-01 05:45:00,05:45:00,0.0,10:26:00,10:07:00,-19.0,221.0,202.0,0
